Team,Mean Wins,Mean Losses,Max Wins,Min Wins,St.Dev,Win Division (%),Make Wild Card (%),Make Playoffs (%),Win League (%),Win WS (%),Division,date,Wins to Date,Losses to Date,Wins RoS,Losses RoS,Projected Wins,Projected Losses
PHI,,,,,,43.4,41.68,85.08,14.79,7.56,,2025-06-19 14:01:14.006034,44.0,30.0,48.0,40.0,92.0,70.0
CHC,,,,,,64.7,16.24,80.94,10.21,4.82,,2025-06-19 14:01:14.006034,45.0,28.0,46.0,42.0,91.0,70.0
NYY,,,,,,43.82,36.78,80.61,16.77,8.48,,2025-06-19 14:01:14.006034,42.0,31.0,48.0,41.0,90.0,72.0
DET,,,,,,63.59,17.72,81.31,10.78,4.42,,2025-06-19 14:01:14.006034,47.0,27.0,43.0,44.0,90.0,71.0
HOU,,,,,,53.72,20.93,74.65,12.86,5.9,,2025-06-19 14:01:14.006034,43.0,31.0,46.0,42.0,89.0,73.0
TOR,,,,,,27.37,40.27,67.64,12.24,5.96,,2025-06-19 14:01:14.006034,40.0,33.0,47.0,41.0,87.0,74.0
TBR,,,,,,18.24,39.3,57.54,7.95,3.56,,2025-06-19 14:01:14.006034,41.0,33.0,45.0,43.0,86.0,76.0
SEA,,,,,,27.21,25.29,52.5,9.99,5.1,,2025-06-19 14:01:14.006034,37.0,36.0,48.0,41.0,85.0,77.0
MIN,,,,,,20.28,23.7,43.97,8.35,4.38,,2025-06-19 14:01:14.006034,36.0,37.0,48.0,40.0,84.0,77.0
SFG,,,,,,6.61,40.42,47.03,4.26,1.97,,2025-06-19 14:01:14.006034,41.0,33.0,43.0,45.0,84.0,78.0
SDP,,,,,,5.7,38.23,43.94,4.61,2.16,,2025-06-19 14:01:14.006034,39.0,34.0,45.0,44.0,84.0,78.0
BOS,,,,,,8.92,28.36,37.28,6.02,2.82,,2025-06-19 14:01:14.006034,39.0,37.0,44.0,42.0,83.0,79.0
ARI,,,,,,3.44,31.86,35.3,4.44,2.33,,2025-06-19 14:01:14.006034,36.0,37.0,47.0,42.0,83.0,79.0
ATL,,,,,,5.27,27.77,33.03,6.61,3.75,,2025-06-19 14:01:14.006034,33.0,39.0,50.0,38.0,83.0,77.0
MIL,,,,,,13.41,18.94,32.34,3.38,1.55,,2025-06-19 14:01:14.006034,39.0,35.0,43.0,44.0,82.0,79.0
CLE,,,,,,10.42,19.71,30.14,3.69,1.6,,2025-06-19 14:01:14.006034,37.0,35.0,45.0,44.0,82.0,79.0
TEX,,,,,,13.55,17.91,31.46,5.24,2.44,,2025-06-19 14:01:14.006034,36.0,38.0,45.0,43.0,81.0,81.0
STL,,,,,,12.29,18.14,30.43,2.63,1.11,,2025-06-19 14:01:14.006034,38.0,35.0,43.0,45.0,81.0,80.0
CIN,,,,,,9.41,15.37,24.78,2.2,0.96,,2025-06-19 14:01:14.006034,39.0,35.0,42.0,46.0,81.0,81.0
KCR,,,,,,5.71,12.38,18.09,2.38,1.12,,2025-06-19 14:01:14.006034,36.0,38.0,43.0,45.0,79.0,83.0
LAA,,,,,,5.27,8.22,13.49,1.42,0.6,,2025-06-19 14:01:14.006034,36.0,37.0,42.0,47.0,78.0,84.0
BAL,,,,,,1.65,8.91,10.56,2.25,1.16,,2025-06-19 14:01:14.006034,31.0,42.0,46.0,42.0,77.0,84.0
PIT,,,,,,0.2,0.56,0.77,0.07,0.01,,2025-06-19 14:01:14.006034,29.0,45.0,41.0,46.0,70.0,91.0
ATH,,,,,,0.24,0.52,0.77,0.1,0.06,,2025-06-19 14:01:14.006034,30.0,46.0,40.0,46.0,70.0,92.0
WSN,,,,,,0.03,0.3,0.33,0.04,0.01,,2025-06-19 14:01:14.006034,30.0,44.0,38.0,49.0,68.0,93.0
MIA,,,,,,0.01,0.07,0.08,0.01,0.01,,2025-06-19 14:01:14.006034,29.0,43.0,36.0,53.0,65.0,96.0
CHW,,,,,,0.0,0.0,0.0,0.0,0.0,,2025-06-19 14:01:14.006034,23.0,50.0,35.0,53.0,58.0,103.0
COL,,,,,,0.0,0.0,0.0,0.0,0.0,,2025-06-19 14:01:14.006034,17.0,57.0,34.0,54.0,51.0,111.0
LAD,,,,,,81.16,15.65,96.81,29.27,17.35,,2025-06-20 14:01:03.005595,46.0,30.0,51.0,35.0,97.0,65.0
NYM,,,,,,47.43,38.92,86.36,16.16,8.4,,2025-06-20 14:01:03.005595,45.0,30.0,47.0,40.0,92.0,70.0
PHI,,,,,,46.81,38.34,85.15,15.24,8.15,,2025-06-20 14:01:03.005595,45.0,30.0,47.0,40.0,92.0,70.0
DET,,,,,,65.33,18.34,83.68,11.32,4.42,,2025-06-20 14:01:03.005595,48.0,28.0,43.0,43.0,91.0,71.0
CHC,,,,,,59.55,17.46,77.01,10.01,4.54,,2025-06-20 14:01:03.005595,45.0,29.0,45.0,42.0,90.0,71.0
NYY,,,,,,47.03,34.91,81.95,17.18,8.6,,2025-06-20 14:01:03.005595,43.0,31.0,47.0,41.0,90.0,72.0
HOU,,,,,,52.3,20.44,72.74,12.43,5.72,,2025-06-20 14:01:03.005595,43.0,32.0,45.0,42.0,88.0,74.0
TOR,,,,,,25.05,40.18,65.23,12.0,5.68,,2025-06-20 14:01:03.005595,40.0,34.0,47.0,40.0,87.0,74.0
SDP,,,,,,6.37,38.59,44.95,4.78,2.25,,2025-06-20 14:01:03.005595,40.0,34.0,45.0,43.0,85.0,77.0
SFG,,,,,,8.07,40.74,48.81,4.5,1.98,,2025-06-20 14:01:03.005595,42.0,33.0,43.0,44.0,85.0,77.0
SEA,,,,,,29.8,24.21,54.01,10.19,5.12,,2025-06-20 14:01:03.005595,37.0,36.0,48.0,41.0,85.0,77.0
TBR,,,,,,17.09,37.41,54.51,7.66,3.44,,2025-06-20 14:01:03.005595,41.0,34.0,44.0,43.0,85.0,77.0
MIN,,,,,,20.05,27.07,47.12,8.34,4.12,,2025-06-20 14:01:03.005595,37.0,37.0,47.0,40.0,84.0,77.0
ARI,,,,,,4.4,31.55,35.95,4.65,2.33,,2025-06-20 14:01:03.005595,37.0,37.0,47.0,41.0,84.0,78.0
STL,,,,,,17.57,19.66,37.23,3.16,1.5,,2025-06-20 14:01:03.005595,40.0,35.0,43.0,44.0,83.0,79.0
MIL,,,,,,14.71,18.23,32.95,3.65,1.73,,2025-06-20 14:01:03.005595,40.0,35.0,43.0,43.0,83.0,78.0
BOS,,,,,,8.79,29.79,38.58,5.76,2.63,,2025-06-20 14:01:03.005595,39.0,37.0,44.0,42.0,83.0,79.0
ATL,,,,,,5.7,27.03,32.73,6.51,3.73,,2025-06-20 14:01:03.005595,34.0,39.0,49.0,38.0,83.0,77.0
CLE,,,,,,8.49,18.98,27.48,3.67,1.64,,2025-06-20 14:01:03.005595,37.0,36.0,44.0,44.0,81.0,80.0
TEX,,,,,,12.71,15.82,28.52,4.81,2.4,,2025-06-20 14:01:03.005595,36.0,39.0,45.0,42.0,81.0,81.0
CIN,,,,,,7.99,12.7,20.69,1.93,0.88,,2025-06-20 14:01:03.005595,39.0,36.0,41.0,46.0,80.0,82.0
KCR,,,,,,6.12,14.29,20.41,2.6,1.18,,2025-06-20 14:01:03.005595,37.0,38.0,43.0,44.0,80.0,82.0
BAL,,,,,,2.04,10.46,12.5,2.56,1.47,,2025-06-20 14:01:03.005595,32.0,42.0,46.0,41.0,78.0,83.0
LAA,,,,,,4.91,7.33,12.24,1.31,0.58,,2025-06-20 14:01:03.005595,36.0,38.0,41.0,47.0,77.0,85.0
PIT,,,,,,0.18,0.73,0.91,0.1,0.07,,2025-06-20 14:01:03.005595,30.0,46.0,40.0,46.0,70.0,92.0
ATH,,,,,,0.28,0.77,1.04,0.15,0.08,,2025-06-20 14:01:03.005595,31.0,46.0,39.0,46.0,70.0,92.0
WSN,,,,,,0.05,0.36,0.4,0.03,0.03,,2025-06-20 14:01:03.005595,31.0,44.0,37.0,49.0,68.0,93.0
MIA,,,,,,0.01,0.06,0.07,0.01,0.0,,2025-06-20 14:01:03.005595,29.0,44.0,36.0,52.0,65.0,96.0
CHW,,,,,,0.0,0.0,0.0,0.0,0.0,,2025-06-20 14:01:03.005595,23.0,52.0,34.0,53.0,57.0,105.0
COL,,,,,,0.0,0.0,0.0,0.0,0.0,,2025-06-20 14:01:03.005595,17.0,58.0,34.0,53.0,51.0,111.0
LAD,,,,,,83.38,13.98,97.36,30.64,17.82,,2025-06-21 13:55:39.358333,47.0,30.0,51.0,34.0,98.0,64.0
PHI,,,,,,51.29,36.1,87.39,15.33,7.95,,2025-06-21 13:55:39.358333,46.0,30.0,46.0,40.0,92.0,70.0
NYM,,,,,,43.78,40.94,84.71,15.38,7.85,,2025-06-21 13:55:39.358333,45.0,31.0,47.0,39.0,92.0,70.0
CHC,,,,,,56.06,18.93,75.0,9.72,4.61,,2025-06-21 13:55:39.358333,45.0,30.0,45.0,41.0,90.0,71.0
NYY,,,,,,44.71,35.12,79.84,16.81,8.42,,2025-06-21 13:55:39.358333,43.0,32.0,47.0,40.0,90.0,72.0
DET,,,,,,63.84,17.9,81.74,10.87,4.55,,2025-06-21 13:55:39.358333,48.0,29.0,42.0,43.0,90.0,72.0
HOU,,,,,,53.56,22.09,75.65,12.52,5.75,,2025-06-21 13:55:39.358333,44.0,32.0,45.0,41.0,89.0,73.0
TBR,,,,,,19.57,37.61,57.18,8.06,3.71,,2025-06-21 13:55:39.358333,42.0,34.0,44.0,42.0,86.0,76.0
TOR,,,,,,23.14,38.04,61.18,11.07,5.38,,2025-06-21 13:55:39.358333,40.0,35.0,46.0,40.0,86.0,75.0
SFG,,,,,,6.69,39.3,46.0,4.23,1.93,,2025-06-21 13:55:39.358333,42.0,34.0,43.0,43.0,85.0,77.0
SEA,,,,,,29.78,26.85,56.62,10.9,5.37,,2025-06-21 13:55:39.358333,38.0,36.0,47.0,41.0,85.0,77.0
MIN,,,,,,20.14,23.32,43.46,8.21,4.12,,2025-06-21 13:55:39.358333,37.0,38.0,47.0,39.0,84.0,77.0
SDP,,,,,,5.46,37.74,43.2,4.29,1.94,,2025-06-21 13:55:39.358333,40.0,35.0,44.0,43.0,84.0,78.0
BOS,,,,,,10.4,30.0,40.41,6.21,2.94,,2025-06-21 13:55:39.358333,40.0,37.0,44.0,41.0,84.0,78.0
ARI,,,,,,4.46,34.52,38.98,4.69,2.42,,2025-06-21 13:55:39.358333,38.0,37.0,46.0,41.0,84.0,78.0
MIL,,,,,,17.53,20.13,37.66,3.86,1.7,,2025-06-21 13:55:39.358333,41.0,35.0,42.0,43.0,83.0,78.0
STL,,,,,,18.96,20.71,39.68,3.58,1.57,,2025-06-21 13:55:39.358333,41.0,35.0,42.0,44.0,83.0,79.0
ATL,,,,,,4.93,24.71,29.64,6.25,3.61,,2025-06-21 13:55:39.358333,34.0,40.0,49.0,37.0,83.0,77.0
CLE,,,,,,8.31,16.58,24.89,3.3,1.54,,2025-06-21 13:55:39.358333,37.0,37.0,44.0,43.0,81.0,80.0
TEX,,,,,,12.85,18.08,30.93,5.06,2.54,,2025-06-21 13:55:39.358333,37.0,39.0,44.0,42.0,81.0,81.0
CIN,,,,,,7.19,11.88,19.06,1.89,0.87,,2025-06-21 13:55:39.358333,39.0,37.0,41.0,45.0,80.0,82.0
KCR,,,,,,7.7,15.45,23.15,2.84,1.26,,2025-06-21 13:55:39.358333,38.0,38.0,42.0,44.0,80.0,82.0
BAL,,,,,,2.17,11.46,13.63,2.9,1.56,,2025-06-21 13:55:39.358333,33.0,42.0,45.0,41.0,78.0,83.0
LAA,,,,,,3.52,6.63,10.15,1.09,0.47,,2025-06-21 13:55:39.358333,36.0,39.0,41.0,46.0,77.0,85.0
ATH,,,,,,0.28,0.88,1.16,0.14,0.06,,2025-06-21 13:55:39.358333,32.0,46.0,39.0,45.0,71.0,91.0
PIT,,,,,,0.25,0.61,0.86,0.1,0.04,,2025-06-21 13:55:39.358333,30.0,47.0,40.0,45.0,70.0,92.0
WSN,,,,,,0.0,0.36,0.36,0.03,0.02,,2025-06-21 13:55:39.358333,31.0,45.0,37.0,48.0,68.0,93.0
MIA,,,,,,0.0,0.08,0.08,0.01,0.01,,2025-06-21 13:55:39.358333,30.0,44.0,35.0,52.0,65.0,96.0
CHW,,,,,,0.0,0.0,0.0,0.0,0.0,,2025-06-21 13:55:39.358333,24.0,52.0,34.0,52.0,58.0,104.0
COL,,,,,,0.0,0.0,0.0,0.0,0.0,,2025-06-21 13:55:39.358333,17.0,59.0,33.0,53.0,50.0,112.0
LAD,,,,,,79.83,16.52,96.34,29.25,17.41,,2025-06-22 13:55:33.832114,47.0,31.0,50.0,34.0,97.0,65.0
NYM,,,,,,48.22,38.19,86.41,16.38,8.82,,2025-06-22 13:55:33.832114,46.0,31.0,47.0,38.0,93.0,69.0
PHI,,,,,,46.44,38.08,84.52,14.84,7.44,,2025-06-22 13:55:33.832114,46.0,31.0,46.0,39.0,92.0,70.0
CHC,,,,,,57.67,18.83,76.5,10.2,4.7,,2025-06-22 13:55:33.832114,46.0,30.0,44.0,41.0,90.0,71.0
NYY,,,,,,46.8,35.53,82.33,17.53,8.83,,2025-06-22 13:55:33.832114,44.0,32.0,46.0,40.0,90.0,72.0
DET,,,,,,63.42,17.09,80.51,10.79,4.29,,2025-06-22 13:55:33.832114,48.0,30.0,42.0,42.0,90.0,72.0
HOU,,,,,,51.2,21.63,72.84,12.73,5.8,,2025-06-22 13:55:33.832114,44.0,33.0,44.0,41.0,88.0,74.0
TBR,,,,,,18.67,39.85,58.51,7.83,3.48,,2025-06-22 13:55:33.832114,43.0,34.0,43.0,42.0,86.0,76.0
TOR,,,,,,23.7,40.78,64.48,11.22,5.45,,2025-06-22 13:55:33.832114,41.0,35.0,45.0,40.0,86.0,75.0
SFG,,,,,,8.27,38.62,46.88,4.33,1.94,,2025-06-22 13:55:33.832114,43.0,34.0,42.0,43.0,85.0,77.0
SDP,,,,,,6.62,37.03,43.65,4.4,2.04,,2025-06-22 13:55:33.832114,41.0,35.0,44.0,42.0,85.0,77.0
ARI,,,,,,5.27,34.2,39.48,5.22,2.76,,2025-06-22 13:55:33.832114,39.0,37.0,46.0,40.0,85.0,77.0
SEA,,,,,,28.54,24.77,53.3,10.36,5.24,,2025-06-22 13:55:33.832114,38.0,37.0,47.0,40.0,85.0,77.0
MIL,,,,,,17.53,20.94,38.46,3.9,1.92,,2025-06-22 13:55:33.832114,42.0,35.0,42.0,42.0,84.0,77.0
STL,,,,,,19.26,22.02,41.28,3.65,1.54,,2025-06-22 13:55:33.832114,42.0,35.0,42.0,43.0,84.0,78.0
ATL,,,,,,5.31,25.23,30.54,6.25,3.65,,2025-06-22 13:55:33.832114,35.0,40.0,48.0,37.0,83.0,77.0
BOS,,,,,,8.87,29.1,37.97,5.42,2.51,,2025-06-22 13:55:33.832114,40.0,38.0,43.0,41.0,83.0,79.0
MIN,,,,,,19.02,21.9,40.92,7.47,3.64,,2025-06-22 13:55:33.832114,37.0,39.0,46.0,39.0,83.0,78.0
TEX,,,,,,15.25,18.92,34.16,5.75,2.79,,2025-06-22 13:55:33.832114,38.0,39.0,44.0,41.0,82.0,80.0
CLE,,,,,,10.14,18.11,28.25,3.74,1.67,,2025-06-22 13:55:33.832114,38.0,37.0,43.0,43.0,81.0,80.0
KCR,,,,,,7.41,13.41,20.82,2.68,1.12,,2025-06-22 13:55:33.832114,38.0,39.0,42.0,43.0,80.0,82.0
CIN,,,,,,5.38,9.55,14.93,1.49,0.76,,2025-06-22 13:55:33.832114,39.0,38.0,40.0,45.0,79.0,83.0
BAL,,,,,,1.97,10.67,12.65,2.93,1.51,,2025-06-22 13:55:33.832114,33.0,43.0,45.0,40.0,78.0,83.0
LAA,,,,,,4.75,7.51,12.26,1.44,0.6,,2025-06-22 13:55:33.832114,37.0,39.0,40.0,46.0,77.0,85.0
ATH,,,,,,0.27,0.73,1.0,0.12,0.06,,2025-06-22 13:55:33.832114,32.0,47.0,38.0,45.0,70.0,92.0
PIT,,,,,,0.17,0.43,0.6,0.06,0.02,,2025-06-22 13:55:33.832114,30.0,48.0,39.0,45.0,69.0,93.0
WSN,,,,,,0.03,0.3,0.33,0.03,0.01,,2025-06-22 13:55:33.832114,32.0,45.0,36.0,48.0,68.0,93.0
MIA,,,,,,0.01,0.06,0.07,0.01,0.01,,2025-06-22 13:55:33.832114,30.0,45.0,35.0,51.0,65.0,96.0
CHW,,,,,,0.0,0.0,0.0,0.0,0.0,,2025-06-22 13:55:33.832114,24.0,53.0,33.0,52.0,57.0,105.0
COL,,,,,,0.0,0.0,0.0,0.0,0.0,,2025-06-22 13:55:33.832114,17.0,60.0,33.0,52.0,50.0,112.0
LAD,,,,,,81.28,15.67,96.95,30.0,17.5,,2025-06-25 06:51:29.686685,48.0,31.0,49.0,33.0,97.0,64.0
PHI,,,,,,52.99,33.87,86.86,15.85,8.18,,2025-06-25 06:51:29.686685,47.0,31.0,45.0,38.0,92.0,69.0
NYM,,,,,,41.83,41.89,83.71,15.67,8.15,,2025-06-25 06:51:29.686685,46.0,33.0,45.0,37.0,91.0,70.0
DET,,,,,,68.04,15.57,83.6,11.0,4.46,,2025-06-25 06:51:29.686685,49.0,30.0,41.0,41.0,90.0,71.0
NYY,,,,,,50.16,33.52,83.67,17.97,8.77,,2025-06-25 06:51:29.686685,45.0,33.0,45.0,38.0,90.0,71.0
CHC,,,,,,52.64,19.38,72.02,9.17,4.58,,2025-06-25 06:51:29.686685,46.0,32.0,43.0,39.0,89.0,71.0
HOU,,,,,,52.4,24.43,76.82,13.54,6.4,,2025-06-25 06:51:29.686685,45.0,33.0,43.0,40.0,88.0,73.0
TOR,,,,,,23.02,39.02,62.04,11.02,5.28,,2025-06-25 06:51:29.686685,41.0,36.0,44.0,39.0,85.0,75.0
SEA,,,,,,32.57,28.99,61.56,11.7,6.0,,2025-06-25 06:51:29.686685,40.0,37.0,45.0,39.0,85.0,76.0
SFG,,,,,,8.8,41.57,50.37,4.62,2.06,,2025-06-25 06:51:29.686685,44.0,34.0,41.0,42.0,85.0,76.0
TBR,,,,,,17.8,38.81,56.62,7.03,3.11,,2025-06-25 06:51:29.686685,43.0,35.0,42.0,41.0,85.0,76.0
ARI,,,,,,4.42,33.56,37.99,4.69,2.35,,2025-06-25 06:51:29.686685,40.0,38.0,44.0,39.0,84.0,77.0
SDP,,,,,,5.49,36.84,42.34,4.12,1.84,,2025-06-25 06:51:29.686685,42.0,36.0,42.0,41.0,84.0,77.0
MIL,,,,,,18.28,19.81,38.09,3.88,1.85,,2025-06-25 06:51:29.686685,43.0,36.0,40.0,41.0,83.0,77.0
STL,,,,,,20.79,20.91,41.71,3.67,1.52,,2025-06-25 06:51:29.686685,43.0,36.0,40.0,42.0,83.0,78.0
BOS,,,,,,7.09,25.96,33.05,5.06,2.36,,2025-06-25 06:51:29.686685,40.0,40.0,42.0,39.0,82.0,79.0
ATL,,,,,,5.16,23.62,28.78,6.21,3.68,,2025-06-25 06:51:29.686685,36.0,41.0,46.0,36.0,82.0,77.0
MIN,,,,,,14.57,21.4,35.97,6.95,3.49,,2025-06-25 06:51:29.686685,37.0,41.0,45.0,37.0,82.0,78.0
CLE,,,,,,11.04,20.4,31.44,3.82,1.64,,2025-06-25 06:51:29.686685,39.0,37.0,42.0,42.0,81.0,79.0
CIN,,,,,,8.03,11.91,19.94,2.0,0.95,,2025-06-25 06:51:29.686685,41.0,38.0,39.0,43.0,80.0,81.0
TEX,,,,,,10.85,18.3,29.15,4.91,2.36,,2025-06-25 06:51:29.686685,38.0,41.0,42.0,40.0,80.0,81.0
KCR,,,,,,6.35,13.34,19.69,2.61,1.27,,2025-06-25 06:51:29.686685,38.0,40.0,41.0,42.0,79.0,82.0
BAL,,,,,,1.93,11.16,13.09,2.72,1.46,,2025-06-25 06:51:29.686685,34.0,44.0,44.0,38.0,78.0,82.0
LAA,,,,,,4.01,8.52,12.53,1.53,0.62,,2025-06-25 06:51:29.686685,38.0,40.0,39.0,44.0,77.0,84.0
PIT,,,,,,0.25,0.56,0.81,0.09,0.04,,2025-06-25 06:51:29.686685,32.0,48.0,38.0,43.0,70.0,91.0
ATH,,,,,,0.17,0.59,0.76,0.15,0.06,,2025-06-25 06:51:29.686685,32.0,48.0,37.0,44.0,69.0,92.0
WSN,,,,,,0.03,0.32,0.34,0.02,0.01,,2025-06-25 06:51:29.686685,33.0,46.0,35.0,46.0,68.0,92.0
MIA,,,,,,0.01,0.08,0.09,0.01,0.01,,2025-06-25 06:51:29.686685,31.0,45.0,34.0,50.0,65.0,95.0
CHW,,,,,,0.0,0.0,0.0,0.0,0.0,,2025-06-25 06:51:29.686685,25.0,54.0,32.0,50.0,57.0,104.0
COL,,,,,,0.0,0.0,0.0,0.0,0.0,,2025-06-25 06:51:29.686685,18.0,60.0,32.0,51.0,50.0,111.0
LAD,,,,,,81.56,15.39,96.95,29.83,17.46,,2025-06-25 14:04:58.782054,48.0,31.0,49.0,33.0,97.0,64.0
PHI,,,,,,52.95,33.96,86.91,15.9,8.2,,2025-06-25 14:04:58.782054,47.0,31.0,45.0,38.0,92.0,69.0
NYM,,,,,,41.82,41.91,83.73,15.79,8.21,,2025-06-25 14:04:58.782054,46.0,33.0,45.0,37.0,91.0,70.0
DET,,,,,,67.95,15.57,83.52,10.94,4.43,,2025-06-25 14:04:58.782054,49.0,30.0,41.0,41.0,90.0,71.0
NYY,,,,,,50.03,33.43,83.46,17.81,8.71,,2025-06-25 14:04:58.782054,45.0,33.0,45.0,38.0,90.0,71.0
CHC,,,,,,52.54,19.38,71.92,9.13,4.59,,2025-06-25 14:04:58.782054,46.0,32.0,43.0,39.0,89.0,71.0
HOU,,,,,,52.25,24.45,76.7,13.53,6.4,,2025-06-25 14:04:58.782054,45.0,33.0,43.0,40.0,88.0,73.0
TOR,,,,,,23.05,38.92,61.97,11.07,5.25,,2025-06-25 14:04:58.782054,41.0,36.0,44.0,39.0,85.0,75.0
SEA,,,,,,32.66,28.94,61.6,11.74,6.0,,2025-06-25 14:04:58.782054,40.0,37.0,45.0,39.0,85.0,76.0
SFG,,,,,,8.76,41.69,50.44,4.64,2.04,,2025-06-25 14:04:58.782054,44.0,34.0,41.0,42.0,85.0,76.0
TBR,,,,,,17.7,38.67,56.38,6.99,3.1,,2025-06-25 14:04:58.782054,43.0,35.0,42.0,41.0,85.0,76.0
ARI,,,,,,4.52,33.8,38.33,4.74,2.38,,2025-06-25 14:04:58.782054,40.0,38.0,44.0,39.0,84.0,77.0
SDP,,,,,,5.16,35.84,40.99,3.92,1.71,,2025-06-25 14:04:58.782054,42.0,36.0,42.0,41.0,84.0,77.0
MIL,,,,,,18.2,20.02,38.22,3.84,1.81,,2025-06-25 14:04:58.782054,43.0,36.0,40.0,41.0,83.0,77.0
STL,,,,,,21.04,21.12,42.16,3.72,1.54,,2025-06-25 14:04:58.782054,43.0,36.0,40.0,42.0,83.0,78.0
BOS,,,,,,7.16,25.86,33.02,5.1,2.37,,2025-06-25 14:04:58.782054,40.0,40.0,42.0,39.0,82.0,79.0
ATL,,,,,,5.2,24.0,29.2,6.35,3.79,,2025-06-25 14:04:58.782054,36.0,41.0,46.0,36.0,82.0,77.0
MIN,,,,,,14.64,21.38,36.02,6.91,3.46,,2025-06-25 14:04:58.782054,37.0,41.0,45.0,37.0,82.0,78.0
CLE,,,,,,11.05,20.36,31.41,3.8,1.62,,2025-06-25 14:04:58.782054,39.0,37.0,42.0,42.0,81.0,79.0
CIN,,,,,,7.99,11.92,19.91,2.0,0.93,,2025-06-25 14:04:58.782054,41.0,38.0,39.0,43.0,80.0,81.0
TEX,,,,,,10.88,18.34,29.23,4.9,2.39,,2025-06-25 14:04:58.782054,38.0,41.0,42.0,40.0,80.0,81.0
KCR,,,,,,6.35,13.31,19.66,2.57,1.24,,2025-06-25 14:04:58.782054,38.0,40.0,41.0,42.0,79.0,82.0
BAL,,,,,,2.06,11.72,13.78,2.94,1.59,,2025-06-25 14:04:58.782054,34.0,44.0,44.0,38.0,78.0,82.0
LAA,,,,,,4.03,8.48,12.5,1.55,0.63,,2025-06-25 14:04:58.782054,38.0,40.0,39.0,44.0,77.0,84.0
PIT,,,,,,0.24,0.57,0.81,0.1,0.05,,2025-06-25 14:04:58.782054,32.0,48.0,38.0,43.0,70.0,91.0
ATH,,,,,,0.18,0.57,0.75,0.14,0.06,,2025-06-25 14:04:58.782054,32.0,48.0,37.0,44.0,69.0,92.0
WSN,,,,,,0.02,0.32,0.34,0.02,0.01,,2025-06-25 14:04:58.782054,33.0,46.0,35.0,46.0,68.0,92.0
MIA,,,,,,0.01,0.08,0.09,0.01,0.01,,2025-06-25 14:04:58.782054,31.0,45.0,34.0,50.0,65.0,95.0
CHW,,,,,,0.0,0.0,0.0,0.0,0.0,,2025-06-25 14:04:58.782054,25.0,54.0,32.0,50.0,57.0,104.0
COL,,,,,,0.0,0.0,0.0,0.0,0.0,,2025-06-25 14:04:58.782054,18.0,60.0,32.0,51.0,50.0,111.0
LAD,,,,,,84.73,13.05,97.79,30.8,17.55,,2025-06-26 14:02:56.526264,50.0,31.0,48.0,33.0,98.0,64.0
NYM,,,,,,46.29,37.71,84.0,16.2,8.67,,2025-06-26 14:02:56.526264,47.0,34.0,45.0,36.0,92.0,70.0
PHI,,,,,,47.93,35.28,83.21,14.82,7.66,,2025-06-26 14:02:56.526264,47.0,33.0,44.0,38.0,91.0,71.0
DET,,,,,,69.3,14.7,84.0,11.31,4.43,,2025-06-26 14:02:56.526264,50.0,31.0,40.0,41.0,90.0,72.0
HOU,,,,,,55.86,24.84,80.7,14.29,6.55,,2025-06-26 14:02:56.526264,47.0,33.0,43.0,39.0,90.0,72.0
NYY,,,,,,48.93,34.23,83.17,17.61,8.92,,2025-06-26 14:02:56.526264,46.0,34.0,44.0,38.0,90.0,72.0
CHC,,,,,,49.79,21.28,71.06,8.89,4.25,,2025-06-26 14:02:56.526264,47.0,33.0,42.0,39.0,89.0,72.0
TOR,,,,,,22.73,39.11,61.85,11.04,5.37,,2025-06-26 14:02:56.526264,42.0,37.0,44.0,38.0,86.0,75.0
SEA,,,,,,27.84,32.67,60.52,11.43,5.92,,2025-06-26 14:02:56.526264,41.0,38.0,45.0,38.0,86.0,76.0
TBR,,,,,,22.14,40.26,62.4,8.03,3.52,,2025-06-26 14:02:56.526264,45.0,35.0,41.0,41.0,86.0,76.0
SDP,,,,,,5.97,41.26,47.23,4.58,2.17,,2025-06-26 14:02:56.526264,44.0,36.0,41.0,41.0,85.0,77.0
MIL,,,,,,22.54,22.47,45.01,4.78,2.21,,2025-06-26 14:02:56.526264,45.0,36.0,40.0,40.0,85.0,76.0
SFG,,,,,,5.59,37.52,43.11,3.89,1.75,,2025-06-26 14:02:56.526264,44.0,36.0,40.0,42.0,84.0,78.0
ARI,,,,,,3.7,32.95,36.65,4.61,2.42,,2025-06-26 14:02:56.526264,41.0,39.0,43.0,39.0,84.0,78.0
STL,,,,,,20.04,22.38,42.41,3.4,1.36,,2025-06-26 14:02:56.526264,44.0,37.0,40.0,41.0,84.0,78.0
ATL,,,,,,5.75,23.28,29.03,6.08,3.5,,2025-06-26 14:02:56.526264,37.0,42.0,46.0,35.0,83.0,77.0
CLE,,,,,,11.15,19.96,31.11,4.05,1.7,,2025-06-26 14:02:56.526264,40.0,38.0,42.0,41.0,82.0,79.0
TEX,,,,,,11.67,21.76,33.43,5.62,2.68,,2025-06-26 14:02:56.526264,40.0,41.0,42.0,39.0,82.0,80.0
MIN,,,,,,14.67,20.45,35.12,6.7,3.68,,2025-06-26 14:02:56.526264,38.0,42.0,44.0,37.0,82.0,79.0
CIN,,,,,,7.47,12.19,19.66,1.85,0.83,,2025-06-26 14:02:56.526264,42.0,39.0,39.0,42.0,81.0,81.0
