START DATE,team,game,wins_to_date,se,upper_ci_90,lower_ci_90,upper_ci_95,lower_ci_95,upper_ci_99,lower_ci_99
2026-09-18,SEA,156,86.64460924130063,0.12770941507308395,86.85467253587944,86.43454594672181,86.89491509533055,86.39430338727071,86.97356689498497,86.31565158761629
2026-09-18,SFG,154,77.25805,0.06804134398363682,77.36996805143413,77.14613194856587,77.39140858366763,77.12469141633237,77.4333128876859,77.0827871123141
2026-09-18,STL,154,69.7557,0.06761748650847711,69.86692086792881,69.6444791320712,69.88822783828174,69.62317216171827,69.92987110318086,69.58152889681915
2026-09-18,TBR,154,75.60045,0.0687019758664144,75.7134546941826,75.48744530581739,75.73510339836491,75.46579660163508,75.77741456264842,75.42348543735157
2026-09-18,TEX,154,77.61535,0.06785594992608991,77.72696310534617,77.50373689465384,77.7483452179919,77.48235478200812,77.79013534423977,77.44056465576024
2026-09-18,TOR,154,84.4566,0.06741786173117663,84.56749251438983,84.34570748561016,84.5887365809078,84.32446341909218,84.63025690382976,84.28294309617023
2026-09-18,WSN,154,63.24485,0.06587045521110726,63.35319725716293,63.13650274283707,63.37395371985903,63.11574628014097,63.41452104877087,63.07517895122913
2026-09-19,ARI,155,76.1362,0.06788068847171043,76.24785379663265,76.02454620336735,76.26924370465034,76.00315629534967,76.3110490665105,75.9613509334895
2026-09-19,ATH,155,75.2135,0.06788447026062071,75.32516001712186,75.10183998287813,75.3465511168204,75.0804488831796,75.38835880775319,75.0386411922468
2026-09-19,ATL,155,83.38005,0.06759651665824372,83.4912363755946,83.2688636244054,83.51253673813052,83.24756326186947,83.55416708842613,83.20593291157387
2026-09-19,BAL,155,82.5458,0.06836134713190707,82.6582444097732,82.4333555902268,82.67978577831317,82.41181422168683,82.72188716117245,82.36971283882755
2026-09-19,BOS,155,81.93359244119814,0.07821933286726367,82.06225179456258,81.8049330878337,82.08689951651273,81.78028536588356,82.13507209090169,81.7321127914946
2026-09-19,BOS,157,85.46464447508372,0.13474208756473635,85.68627548651759,85.24301346364985,85.72873411391234,85.2005548362551,85.81171709265432,85.11757185751311
2026-09-19,CHC,155,82.6205,0.06707215458889078,82.73082387674299,82.51017612325703,82.75195900735973,82.48904099264028,82.79326642124224,82.44773357875778
2026-09-19,CHW,155,65.2497,0.06741746621786948,65.36059186382835,65.13880813617166,65.38183580571598,65.11756419428403,65.42335588505502,65.07604411494499
2026-09-19,CIN,155,73.601,0.06771339753114063,73.7123786275223,73.4896213724777,73.73371582043188,73.46828417956812,73.77541815360357,73.42658184639643
2026-09-19,CLE,155,73.16165,0.06786133819735732,73.2732719682637,73.05002803173629,73.29465577880951,73.02864422119048,73.33644922350679,72.9868507764932
2026-09-19,COL,155,60.4171,0.06527855271045918,60.52447366418794,60.30972633581206,60.5450436122754,60.289156387724596,60.58524640896486,60.24895359103513
2026-09-19,DET,155,83.19995,0.06882405347981085,83.31315549398776,83.08674450601224,83.3348426660905,83.06505733390951,83.37722901374231,83.0226709862577
2026-09-19,HOU,155,79.38765,0.06843316468479624,79.50021253913555,79.27508746086444,79.5217765381303,79.25352346186969,79.56392215092968,79.2113778490703
2026-09-19,KCR,155,76.80685,0.06800083352094279,76.91870141765264,76.69499858234735,76.94012918461975,76.67357081538024,76.98200853964899,76.631691460351
2026-09-19,LAA,155,67.16615,0.0673732822922658,67.27696918773806,67.05533081226194,67.2981992068131,67.03410079318691,67.33969207480469,66.99260792519532
2026-09-19,LAD,155,94.999,0.06565466835476239,95.10699231936962,94.89100768063037,95.12768078539226,94.87031921460773,95.16811521866298,94.82988478133701
2026-09-19,MIA,155,69.3576,0.06790321534605506,69.46929085004363,69.24590914995638,69.49068785651274,69.22451214348727,69.53250709189356,69.18269290810645
2026-09-19,MIL,155,77.30255,0.06746023435355043,77.41351221115143,77.19158778884857,77.43476962972159,77.1703303702784,77.47631604847214,77.12878395152785
2026-09-19,MIN,155,75.14495,0.06801678681795723,75.25682765849109,75.0330723415089,75.27826045250733,75.01163954749266,75.32014963261892,74.96975036738107
2026-09-19,NYM,155,85.4808,0.06768870405047528,85.59213801036107,85.36946198963894,85.61346742209912,85.34813257790088,85.65515454741247,85.30644545258754
