Team,Mean Wins,Mean Losses,Max Wins,Min Wins,St.Dev,Win Division (%),Make Wild Card (%),Make Playoffs (%),Win League (%),Win WS (%),Division,date
LAA,84,78,122,48,10.076613352552148,23.58,22.02,45.61,6.67,3.04,AL West,2023-04-04 16:48:22.102786
LAD,91,71,130,54,9.891337562126704,36.58,36.46,73.04,14.83,7.88,NL West,2023-04-04 16:48:22.102786
MIA,77,85,115,40,9.96323159116493,5.25,18.77,24.03,2.51,0.98,NL East,2023-04-04 16:48:22.102786
MIL,84,78,123,47,9.986003520468802,33.41,19.36,52.76,6.61,3.04,NL Central,2023-04-04 16:48:22.102786
MIN,87,75,123,49,9.985964628641469,41.37,16.89,58.26,9.28,4.41,AL Central,2023-04-04 16:48:22.102786
NYM,90,72,126,53,9.80799223825072,36.2,37.4,73.6,14.42,7.43,NL East,2023-04-04 16:48:22.102786
NYY,92,70,129,54,9.850888650160442,38.77,36.77,75.53,17.97,9.96,AL East,2023-04-04 16:48:22.102786
OAK,68,94,108,34,9.810776185219414,1.34,3.09,4.44,0.29,0.1,AL West,2023-04-04 16:48:22.102786
PHI,82,80,120,45,10.095140243222282,13.23,29.24,42.47,5.97,2.85,NL East,2023-04-04 16:48:22.102786
PIT,74,88,112,37,9.960068657312709,8.06,9.36,17.42,1.26,0.43,NL Central,2023-04-04 16:48:22.102786
SDP,93,69,134,52,9.860346536465714,47.91,32.43,80.34,18.5,9.89,NL West,2023-04-04 16:48:22.102786
SEA,81,81,117,43,10.05869503786615,14.94,18.77,33.71,4.53,2.15,AL West,2023-04-04 16:48:22.102786
SFG,81,81,119,44,10.055468431270054,10.25,26.72,36.98,3.94,1.63,NL West,2023-04-04 16:48:22.102786
STL,87,75,124,48,10.091205958624789,45.48,17.68,63.16,9.49,4.55,NL Central,2023-04-04 16:48:22.102786
TBR,88,74,125,42,9.997617336526767,22.21,37.11,59.33,9.8,4.92,AL East,2023-04-04 16:48:22.102786
TEX,85,77,124,43,10.002224938616738,26.36,22.86,49.23,7.25,3.4,AL West,2023-04-04 16:48:22.102786
TOR,89,73,122,47,9.920588938250814,25.97,38.0,63.98,13.13,7.12,AL East,2023-04-04 16:48:22.102786
WSN,65,97,114,28,9.797852297594718,0.45,3.26,3.71,0.19,0.08,NL East,2023-04-04 16:48:22.102786
ARI,77,85,116,40,10.151561047916998,5.12,16.27,21.39,2.08,0.91,NL West,2023-03-31 20:15:28.186997
ATL,93,69,127,50,10.023822225608392,41.85,36.19,78.05,17.61,9.47,NL East,2023-03-31 20:15:28.186997
BAL,77,85,116,39,10.155813359216951,3.87,15.99,19.86,2.07,0.89,AL East,2023-03-31 20:15:28.186997
BOS,82,80,120,41,10.24384420004032,8.63,26.02,34.66,4.83,2.26,AL East,2023-03-31 20:15:28.186997
CHC,78,84,121,43,10.167792354295376,13.73,12.43,26.16,2.19,0.89,NL Central,2023-03-31 20:15:28.186997
CHW,82,80,122,43,10.164385949337332,23.39,14.96,38.35,4.71,2.2,AL Central,2023-03-31 20:15:28.186997
CIN,68,94,111,34,10.055517469607402,2.96,3.25,6.21,0.35,0.09,NL Central,2023-03-31 20:15:28.186997
CLE,84,78,117,45,10.19086687619778,30.69,16.01,46.7,7.03,3.48,AL Central,2023-03-31 20:15:28.186997
COL,67,95,105,31,9.903129737432993,0.71,3.35,4.06,0.21,0.09,NL West,2023-03-31 20:15:28.186997
DET,69,93,111,30,9.990240809688812,3.2,2.9,6.11,0.43,0.15,AL Central,2023-03-31 20:15:28.186997
HOU,88,74,125,47,10.132583251060284,35.15,24.15,59.31,11.42,5.81,AL West,2023-03-31 20:15:28.186997
KCR,70,92,107,33,10.169600220064288,3.82,3.61,7.43,0.6,0.24,AL Central,2023-03-31 20:15:28.186997
LAA,83,79,121,48,10.174073358219646,19.9,21.14,41.04,6.24,2.81,AL West,2023-03-31 20:15:28.186997
LAD,91,71,128,51,10.059975355472153,39.34,34.8,74.15,15.14,7.9,NL West,2023-03-31 20:15:28.186997
MIA,78,84,115,42,10.163587865680856,5.83,21.18,27.01,2.61,1.05,NL East,2023-03-31 20:15:28.186997
MIL,83,79,124,44,10.085326684382458,29.59,16.92,46.52,5.99,2.79,NL Central,2023-03-31 20:15:28.186997
MIN,85,77,124,43,10.226532351593905,38.9,15.32,54.22,8.09,3.67,AL Central,2023-03-31 20:15:28.186997
NYM,91,71,128,50,10.074491193536325,36.66,37.74,74.39,14.71,7.56,NL East,2023-03-31 20:15:28.186997
NYY,92,70,129,50,10.135071977134588,36.8,37.33,74.12,17.68,9.77,AL East,2023-03-31 20:15:28.186997
OAK,69,93,114,33,10.017318793534052,1.84,3.62,5.45,0.33,0.1,AL West,2023-03-31 20:15:28.186997
PHI,84,78,121,44,10.203446213203238,15.15,33.17,48.32,6.73,3.38,NL East,2023-03-31 20:15:28.186997
PIT,75,87,113,38,10.207270987342811,9.6,9.35,18.95,1.38,0.5,NL Central,2023-03-31 20:15:28.186997
SDP,92,70,125,52,9.985034653087142,46.16,32.48,78.64,18.0,9.36,NL West,2023-03-31 20:15:28.186997
SEA,83,79,120,44,10.15755514611305,19.68,21.76,41.45,5.42,2.4,AL West,2023-03-31 20:15:28.186997
SFG,79,83,119,41,10.144546963844924,8.65,22.12,30.76,3.39,1.52,NL West,2023-03-31 20:15:28.186997
STL,86,76,125,48,10.053373755918654,44.11,17.38,61.49,9.38,4.71,NL Central,2023-03-31 20:15:28.186997
TBR,86,76,123,48,10.096419888367777,18.07,36.46,54.52,9.35,4.88,AL East,2023-03-31 20:15:28.186997
TEX,84,78,123,46,10.192953811965948,23.43,22.64,46.07,6.63,2.92,AL West,2023-03-31 20:15:28.186997
TOR,91,71,125,45,10.129767475463389,32.64,38.08,70.72,15.2,8.13,AL East,2023-03-31 20:15:28.186997
WSN,65,97,106,30,9.963021985841154,0.52,3.39,3.91,0.23,0.08,NL East,2023-03-31 20:15:28.186997
ARI,77,85,113,41,10.102800623541096,5.49,16.91,22.39,1.9,0.86,NL West,2023-04-01 09:26:30.717474
ATL,93,69,129,48,10.016673657709832,43.2,35.34,78.55,17.77,9.66,NL East,2023-04-01 09:26:30.717474
BAL,77,85,117,37,10.209000130359655,4.04,15.86,19.89,2.25,0.97,AL East,2023-04-01 09:26:30.717474
BOS,82,80,119,39,10.163129284690935,8.4,25.32,33.73,4.71,2.12,AL East,2023-04-01 09:26:30.717474
CHC,77,85,118,37,10.116806129693964,13.32,12.44,25.75,2.19,0.78,NL Central,2023-04-01 09:26:30.717474
CHW,82,80,126,43,10.19561150273464,22.06,14.49,36.55,4.64,2.09,AL Central,2023-04-01 09:26:30.717474
CIN,68,94,106,33,9.965136983893196,2.88,3.4,6.28,0.3,0.11,NL Central,2023-04-01 09:26:30.717474
