"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Jared Walsh","LAA","56","241","219","55","12","1","11","29","36","18","65","2","1","0","",".253",".315",".469",".783",".336","","0.3","-0.5","","0.8","18607"
"Tommy Pham","CIN","57","247","214","54","9","1","8","32","27","29","58","2","6","2","",".251",".342",".413",".756",".333","","-0.5","0.4","","0.8","2967"
"Eloy Jiménez","CHW","47","205","189","50","9","0","11","24","33","12","50","1","0","0","",".264",".312",".485",".797",".342","","-0.9","-0.1","","0.8","17484"
"Ramón Urías","BAL","44","191","172","43","10","0","6","21","22","14","45","2","1","1","",".253",".317",".416",".733",".320","","0.1","-0.3","","0.8","18795"
"Nicky Lopez","KCR","52","227","203","53","9","2","1","24","16","17","31","2","6","2","",".260",".321",".340",".661",".295","","2.1","0.5","","0.8","19339"
"Gio Urshela","MIN","50","216","199","53","12","1","6","24","26","13","41","1","0","0","",".264",".310",".421",".731",".318","","-0.6","-0.6","","0.8","10681"
"Alec Bohm","PHI","49","213","194","52","9","1","5","24","24","15","46","1","2","1","",".270",".323",".406",".729",".318","","-0.6","-0.2","","0.8","21618"
"Enrique Hernández","BOS","37","161","143","35","9","1","5","21","18","14","30","2","1","0","",".244",".318",".425",".743",".324","","0.9","0.1","","0.8","10472"
"Luis Guillorme","NYM","36","158","136","36","6","0","2","16","12","18","25","1","1","1","",".264",".352",".352",".704",".316","","0.2","-0.3","","0.8","16451"
"Brandon Belt","SFG","45","194","166","40","8","1","8","24","24","24","49","2","1","1","",".239",".340",".439",".779",".339","","0.2","-0.5","","0.8","10264"
"J.D. Martinez","BOS","56","242","216","59","15","1","9","31","33","22","57","2","0","0","",".273",".343",".470",".813",".350","","0.0","-0.8","","0.8","6184"
"Andrew Vaughn","CHW","56","243","218","57","12","0","9","29","29","19","46","4","0","0","",".262",".330",".440",".770",".336","","-0.9","-0.5","","0.8","26197"
"Jake Meyers","HOU","44","191","172","41","8","1","6","21","22","13","51","3","3","2","",".239",".301",".400",".702",".307","","0.9","-0.1","","0.8","20308"
"Brandon Drury","CIN","53","227","207","52","11","1","9","29","29","16","52","2","1","1","",".249",".306",".445",".751",".325","","0.0","-0.3","","0.8","11615"
"Isiah Kiner-Falefa","NYY","54","231","213","57","10","1","2","25","21","12","33","3","7","2","",".266",".313",".354",".667",".294","","-0.3","0.5","","0.8","16512"
