"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Kramer Robertson","NYM","1","3","2","1","0","0","0","0","0","0","1","0","0","0","",".210",".309",".324",".633",".287","","0.0","0.0","","0.0","20022"
"Steele Walker","TEX","2","8","8","2","0","0","0","1","1","1","2","0","0","0","",".229",".288",".371",".658",".289","","0.0","0.0","","0.0","22093"
"Yonny Hernandez","ARI","1","3","2","1","0","0","0","0","0","0","1","0","0","0","",".232",".331",".300",".630",".290","","0.0","0.0","","0.0","19432"
"Dermis Garcia","OAK","9","37","33","6","1","0","2","4","4","3","14","0","0","0","",".191",".262",".371",".633",".278","","0.0","0.0","","0.0","20926"
"Jacob Nottingham","BAL","1","3","2","0","0","0","0","0","0","0","1","0","0","0","",".199",".275",".364",".638",".282","","0.0","0.0","","0.0","16448"
"Jermaine Palacios","MIN","1","3","3","1","0","0","0","0","0","0","1","0","0","0","",".225",".286",".351",".637",".282","","0.0","0.0","","0.0","18371"
"Drew Ellis","SEA","1","3","2","0","0","0","0","0","0","0","1","0","0","0","",".196",".292",".348",".640",".287","","0.0","0.0","","0.0","19873"
"Sandy León","CLE","2","8","7","1","0","0","0","1","1","1","2","0","0","0","",".190",".263",".295",".558",".252","","0.0","0.0","","0.0","5273"
"José Azocar","SDP","4","19","17","4","1","0","0","2","2","1","5","0","1","0","",".235",".281",".345",".625",".275","","0.0","0.0","","0.0","18821"
"Estevan Florial","NYY","1","3","2","1","0","0","0","0","0","0","1","0","0","0","",".211",".285",".369",".654",".288","","0.0","0.0","","0.0","19151"
"Mason Martin","PIT","3","14","13","3","1","0","1","2","2","1","5","0","0","0","",".206",".269",".412",".681",".295","","0.0","0.0","","0.0","sa3004885"
"Tim Lopes","COL","1","3","2","1","0","0","0","0","0","0","1","0","0","0","",".252",".311",".393",".704",".308","","0.0","0.0","","0.0","14137"
"Vinny Capra","TOR","1","3","2","1","0","0","0","0","0","0","1","0","0","0","",".230",".294",".355",".649",".287","","0.0","0.0","","0.0","25040"
"Yolbert Sanchez","CHW","1","3","3","1","0","0","0","0","0","0","0","0","0","0","",".250",".301",".338",".639",".283","","0.0","0.0","","0.0","sa3011471"
"Daz Cameron","DET","1","5","5","1","0","0","0","1","1","0","2","0","0","0","",".227",".295",".377",".671",".296","","0.0","0.0","","0.0","18353"
"Khalil Lee","NYM","1","3","2","0","0","0","0","0","0","0","1","0","0","0","",".204",".308",".348",".656",".296","","0.0","0.0","","0.0","19952"
"Lucius Fox","WSN","2","11","9","2","0","0","0","1","1","1","3","0","0","0","",".207",".288",".315",".602",".271","","-0.1","0.0","","0.0","18899"
"Nick Plummer","NYM","1","6","5","1","0","0","0","1","1","1","2","0","0","0","",".196",".296",".342",".638",".287","","0.0","0.0","","0.0","18690"
"Billy Hamilton","MIA","3","11","10","2","0","0","0","1","1","1","3","0","1","0","",".206",".260",".285",".545",".244","","0.1","0.1","","0.0","10199"
"Heliot Ramos","SFG","2","8","8","2","0","0","0","1","1","1","2","0","0","0","",".230",".289",".364",".653",".288","","-0.1","0.0","","0.0","22515"
"Richie Martin","BAL","3","14","12","3","0","0","0","1","1","1","3","0","0","0","",".219",".283",".326",".609",".271","","0.0","0.0","","0.0","17736"
"Mark Contreras","MIN","1","3","2","1","0","0","0","0","0","0","1","0","0","0","",".203",".274",".366",".639",".281","","0.0","0.0","","0.0","20122"
"Tony Wolters","LAD","1","3","2","0","0","0","0","0","0","0","1","0","0","0","",".199",".279",".278",".558",".254","","0.0","0.0","","0.0","11470"
"Cory Spangenberg","STL","1","3","2","1","0","0","0","0","0","0","1","0","0","0","",".218",".276",".349",".626",".276","","0.0","0.0","","0.0","12294"
"Donovan Casey","WSN","2","11","10","2","0","0","0","1","1","1","4","0","0","0","",".216",".266",".360",".626",".274","","0.0","0.0","","0.0","sa915654"
"Bobby Bradley","CLE","1","3","3","1","0","0","0","0","0","0","1","0","0","0","",".203",".274",".412",".686",".298","","0.0","0.0","","0.0","17278"
"Sebastian Rivero","KCR","1","3","2","0","0","0","0","0","0","0","1","0","0","0","",".210",".263",".320",".583",".258","","0.0","0.0","","0.0","21735"
"Ryan Vilade","COL","3","11","10","2","1","0","0","1","1","1","2","0","0","0","",".252",".315",".367",".682",".301","","0.0","0.0","","0.0","22165"
"Jose Lobaton","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",".000",".000",".000",".000",".000","","0.0","0.0","","0.0","4243"
"Yusniel Diaz","BAL","10","44","39","8","2","0","1","5","4","4","12","0","0","0","",".212",".290",".356",".645",".286","","0.0","0.0","","0.0","sa912848"
"Magneuris Sierra","LAA","8","33","31","7","1","0","0","3","2","2","7","0","1","0","",".238",".284",".323",".607",".268","","0.0","0.1","","0.0","17023"
"Koby Clemens","","3","14","12","3","1","0","0","1","1","1","3","0","0","0","",".227",".293",".361",".654",".289","","0.0","0.0","","0.0","sa294917"
"Joseph Odom","SEA","1","5","4","1","0","0","0","0","0","0","2","0","0","0","",".173",".245",".286",".531",".237","","0.0","0.0","","0.0","15535"
"Jerar Encarnacion","MIA","2","8","8","2","0","0","0","1","1","1","3","0","0","0","",".217",".276",".366",".642",".281","","0.0","0.0","","0.0","21871"
"Caleb Hamilton","MIN","10","40","36","6","1","0","1","4","4","4","13","0","0","0","",".179",".268",".311",".579",".261","","-0.6","0.0","","0.0","19842"
"Kurt Suzuki","LAA","18","71","64","14","3","0","2","6","7","5","13","2","0","0","",".223",".291",".345",".636",".283","","-1.2","-0.2","","0.0","8259"
"Jed Lowrie","OAK","7","29","26","6","1","0","1","3","3","3","6","0","0","0","",".225",".296",".358",".655",".290","","0.0","-0.1","","0.0","4418"
"Robinson Chirinos","BAL","20","81","71","14","3","0","2","7","8","7","25","2","0","0","",".194",".286",".338",".624",".279","","-0.4","-0.3","","0.0","3142"
"Guillermo Heredia","ATL","16","70","62","13","3","0","1","8","6","6","18","1","0","0","",".211",".292",".341",".634",".282","","-0.2","0.0","","0.0","18721"
"Stephen Vogt","OAK","34","140","125","24","5","0","4","13","15","13","35","1","0","0","",".196",".271",".348",".619",".273","","-0.4","-0.4","","-0.1","5000"
"Miguel Cabrera","DET","50","215","196","50","7","0","5","19","25","16","50","2","0","0","",".256",".315",".368",".683",".301","","-0.1","-1.1","","-0.1","1744"
"Elier Hernandez","TEX","19","81","75","16","3","0","2","8","8","4","23","1","1","1","",".218",".267",".343",".611",".269","","-0.2","-0.1","","-0.2","13750"
