"Name","Team","GS","G","IP","W","L","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Joe Ryan","MIN","24","24","129.0","8","7","0","0","118","61","21","135","36","1.20","9.41","2.48","4.24","4.15","","1.8","1.9","","226.3","21390"
"Nick Pivetta","BOS","29","29","157.0","10","9","0","0","151","83","25","163","63","1.36","9.33","3.62","4.74","4.47","","1.8","1.8","","368.1","15454"
"Bailey Ober","MIN","26","26","132.0","7","6","0","0","131","64","23","130","33","1.25","8.88","2.28","4.37","4.30","","1.8","1.8","","267.0","21224"
"Kyle Gibson","PHI","32","32","187.0","11","11","0","0","189","96","28","162","71","1.39","7.78","3.43","4.60","4.64","","1.8","1.7","","381.5","10123"
"Marco Gonzales","SEA","31","31","181.0","10","12","0","0","183","90","30","140","49","1.29","6.99","2.43","4.49","4.67","","1.8","1.8","","319.5","15467"
"Raisel Iglesias","LAA","0","70","70.0","6","3","31","2","55","24","9","95","19","1.05","12.20","2.41","3.03","3.03","","1.8","2.0","","47.2","17130"
"Casey Mize","DET","31","31","161.0","9","10","0","0","162","79","23","133","49","1.30","7.39","2.73","4.39","4.46","","1.8","2.0","","281.4","20492"
"José Quintana","PIT","28","28","149.0","8","9","0","0","150","74","21","140","58","1.39","8.46","3.47","4.49","4.36","","1.8","1.4","","558.7","11423"
"Ryan Yarbrough","TBR","24","24","161.0","9","9","0","0","167","78","23","119","37","1.26","6.67","2.05","4.35","4.43","","1.8","1.6","","520.5","16502"
"Corey Kluber","TBR","26","26","142.0","9","7","0","0","134","64","20","137","46","1.27","8.68","2.93","4.05","4.15","","1.7","2.0","","336.0","2429"
"Wade Miley","CHC","29","29","163.0","10","10","0","0","172","79","21","119","56","1.40","6.58","3.09","4.35","4.51","","1.7","2.0","","458.4","8779"
"José Urquidy","HOU","26","26","137.0","8","8","0","0","135","68","24","122","33","1.23","8.05","2.20","4.48","4.51","","1.7","1.5","","209.6","18413"
"Logan Gilbert","SEA","26","26","133.0","8","8","0","0","123","61","22","138","37","1.21","9.37","2.53","4.17","4.23","","1.7","1.8","","162.4","22250"
"Drew Rasmussen","TBR","24","38","138.0","8","7","0","1","122","60","17","148","55","1.28","9.63","3.61","3.91","3.93","","1.7","2.0","","279.5","25385"
"Zach Eflin","PHI","23","23","128.0","8","8","0","0","133","62","21","113","32","1.28","7.89","2.23","4.33","4.35","","1.7","1.6","","482.4","13774"
"Brad Keller","KCR","28","28","156.0","10","10","0","0","159","77","18","127","65","1.44","7.36","3.77","4.45","4.43","","1.7","2.1","","573.8","15734"
"Kyle Freeland","COL","29","29","158.0","9","11","0","0","180","91","25","124","56","1.50","7.06","3.19","5.17","4.81","","1.7","1.5","","561.5","16256"
"Chris Flexen","SEA","29","29","166.0","9","10","0","0","172","81","25","133","46","1.31","7.19","2.47","4.37","4.47","","1.7","1.8","","388.9","13896"
"Ryan Pressly","HOU","0","66","66.0","5","3","30","2","54","22","7","81","18","1.10","11.10","2.48","2.96","2.98","","1.6","2.0","","64.5","7005"
"Kyle Hendricks","CHC","31","31","179.0","10","11","0","0","195","92","29","131","41","1.32","6.57","2.04","4.61","4.68","","1.6","1.7","","281.3","12049"
"Aroldis Chapman","NYY","0","64","64.0","5","3","32","2","41","21","7","104","35","1.17","14.56","4.87","2.95","3.12","","1.6","1.8","","80.1","10233"
"Andrew Heaney","LAD","24","24","135.0","9","8","0","0","128","65","25","148","38","1.23","9.84","2.52","4.36","4.40","","1.6","1.4","","297.1","15423"
"Edwin Díaz","NYM","0","67","67.0","5","3","33","2","47","22","8","100","26","1.09","13.44","3.45","2.97","3.06","","1.6","1.6","","62.9","14710"
"Huascar Ynoa","ATL","23","23","119.0","7","6","0","0","112","55","17","126","43","1.30","9.49","3.25","4.18","4.11","","1.5","1.8","","242.2","20468"
"Devin Williams","MIL","0","65","65.0","6","3","2","12","46","22","7","96","31","1.18","13.30","4.30","2.99","3.10","","1.5","1.8","","299.4","15816"
"Michael Pineda","","29","29","158.0","10","10","0","0","169","81","27","128","36","1.30","7.30","2.07","4.60","4.57","","1.5","1.5","","452.6","5372"
"Jonathan Loáisiga","NYY","0","70","70.0","6","4","2","13","60","26","7","78","22","1.18","9.98","2.88","3.35","3.37","","1.5","1.5","","399.3","19753"
"Cal Quantrill","CLE","29","29","165.0","10","11","0","0","169","83","25","138","52","1.34","7.54","2.86","4.53","4.59","","1.5","1.8","","265.3","19312"
"Dylan Bundy","MIN","29","29","156.0","10","10","0","0","157","83","26","147","54","1.35","8.51","3.09","4.78","4.64","","1.4","1.4","","470.6","12917"
"Miles Mikolas","STL","26","26","141.0","9","8","0","0","148","67","21","100","31","1.27","6.40","1.97","4.30","4.47","","1.4","1.4","","487.8","9803"
"Merrill Kelly","ARI","29","29","171.0","10","11","0","0","184","92","28","137","52","1.38","7.19","2.72","4.85","4.73","","1.4","1.3","","492.7","11156"
"Austin Gomber","COL","29","29","148.0","10","11","0","0","157","84","26","142","57","1.44","8.63","3.44","5.08","4.80","","1.4","1.6","","532.1","16561"
"Randy Dobnak","MIN","23","35","139.0","9","9","0","1","157","71","17","89","41","1.43","5.79","2.69","4.58","4.49","","1.4","1.4","","596.0","23798"
"JT Brubaker","PIT","24","24","132.0","8","9","0","0","132","66","20","125","45","1.34","8.50","3.05","4.51","4.45","","1.4","1.2","","508.4","17578"
"Danny Duffy","","18","18","97.0","6","6","0","0","89","46","16","102","35","1.28","9.48","3.22","4.29","4.40","","1.4","1.3","","579.7","3542"
"Giovanny Gallegos","STL","0","76","76.0","5","3","23","7","61","29","10","91","23","1.10","10.76","2.71","3.43","3.48","","1.3","1.3","","111.5","14986"
"Tanner Houck","BOS","18","49","119.0","7","6","0","1","111","57","16","129","45","1.31","9.72","3.41","4.31","4.03","","1.3","1.4","","207.6","19879"
"Blake Treinen","LAD","0","70","70.0","6","3","27","6","59","27","7","78","26","1.22","10.02","3.37","3.43","3.44","","1.3","1.2","","164.7","12572"
"Andrew Kittredge","TBR","0","70","70.0","5","3","20","7","61","25","7","77","17","1.12","9.88","2.23","3.20","3.19","","1.3","1.5","","268.9","12828"
"Nestor Cortes","NYY","19","50","140.0","7","6","0","1","134","70","27","148","45","1.28","9.53","2.91","4.49","4.60","","1.3","1.3","","349.8","17874"
"Tyler Anderson","","29","29","163.0","8","10","0","0","169","87","30","136","46","1.31","7.49","2.51","4.78","4.84","","1.3","1.3","","564.6","12880"
"Scott Barlow","KCR","0","74","74.0","4","3","27","4","63","30","8","91","31","1.27","11.04","3.75","3.68","3.56","","1.3","1.4","","163.3","14993"
"Adbert Alzolay","CHC","23","27","124.0","8","8","0","1","119","63","20","127","44","1.31","9.19","3.20","4.54","4.45","","1.3","1.2","","356.9","17859"
"Josiah Gray","WSN","24","24","129.0","6","7","0","0","124","69","25","138","50","1.35","9.56","3.51","4.82","4.84","","1.3","1.0","","289.0","24580"
"Dallas Keuchel","CHW","29","29","162.0","10","10","0","0","176","82","23","109","56","1.44","6.08","3.11","4.57","4.81","","1.3","1.6","","561.3","9434"
"José Suarez","LAA","24","24","133.0","9","9","0","0","131","67","20","121","52","1.37","8.15","3.48","4.53","4.65","","1.3","1.4","","502.0","19911"
"Taijuan Walker","NYM","29","29","159.0","9","10","0","0","154","80","26","149","57","1.32","8.39","3.20","4.53","4.62","","1.3","0.9","","364.7","11836"
"James Karinchak","CLE","0","66","66.0","6","4","2","13","47","24","8","98","33","1.21","13.32","4.54","3.31","3.32","","1.3","1.4","","426.4","20151"
"Hunter Greene","CIN","19","19","103.0","8","8","0","0","100","53","17","106","40","1.36","9.34","3.54","4.65","4.58","","1.2","1.1","","434.8","sa3005315"
"Adrian Houser","MIL","28","28","145.0","9","9","0","0","148","74","18","111","60","1.44","6.87","3.72","4.57","4.64","","1.2","1.4","","442.9","12718"
"Mike Soroka","ATL","18","18","100.0","7","6","0","0","105","48","13","79","29","1.34","7.12","2.62","4.34","4.28","","1.2","1.2","","531.2","18383"
"Tylor Megill","NYM","21","21","109.0","6","7","0","0","102","51","17","115","38","1.29","9.55","3.15","4.24","4.29","","1.2","1.0","","318.5","21318"
"Triston McKenzie","CLE","23","23","114.0","7","7","0","0","100","58","20","130","49","1.31","10.23","3.88","4.56","4.60","","1.2","1.2","","237.2","18000"
"Zach Plesac","CLE","29","29","164.0","9","11","0","0","171","85","28","130","44","1.31","7.13","2.42","4.65","4.73","","1.2","1.6","","336.5","19979"
"Matt Barnes","BOS","0","66","66.0","6","4","11","10","52","27","8","90","31","1.26","12.26","4.26","3.69","3.54","","1.2","1.2","","264.1","12863"
"Johnny Cueto","","26","26","141.0","8","9","0","0","150","75","23","112","43","1.37","7.14","2.74","4.77","4.76","","1.2","1.1","","591.3","6893"
"Zach Thompson","PIT","23","51","154.0","8","9","0","1","156","79","23","132","56","1.38","7.69","3.29","4.60","4.61","","1.2","1.0","","503.2","16094"
"Eric Lauer","MIL","23","27","127.0","7","8","0","1","122","64","21","123","48","1.34","8.77","3.38","4.57","4.62","","1.2","1.3","","308.5","19316"
"Chad Green","NYY","0","77","77.0","7","4","1","18","63","31","12","97","22","1.11","11.29","2.59","3.64","3.70","","1.2","1.1","","388.7","15552"
"Lucas Sims","CIN","0","65","65.0","4","3","26","4","50","27","10","93","30","1.23","12.89","4.19","3.78","3.85","","1.2","1.1","","217.9","13470"
"Aaron Bummer","CHW","0","64","64.0","4","2","0","16","51","22","5","76","28","1.24","10.62","3.94","3.05","3.22","","1.2","1.3","","587.4","16258"
"Yonny Chirinos","TBR","16","48","130.0","7","7","0","1","126","60","18","111","35","1.24","7.64","2.42","4.14","4.21","","1.2","1.2","","601.0","16401"
"Michael Lorenzen","LAA","18","45","131.0","6","7","0","1","128","64","17","117","54","1.39","8.02","3.74","4.40","4.46","","1.2","1.3","","520.0","14843"
"Jordan Romano","TOR","0","66","66.0","5","3","27","3","51","25","8","86","25","1.16","11.77","3.48","3.37","3.49","","1.1","1.7","","90.2","16122"
"Luke Weaver","ARI","26","26","132.0","8","9","0","0","134","70","23","127","43","1.34","8.66","2.89","4.74","4.54","","1.1","1.0","","476.0","16918"
"Michael Wacha","BOS","23","41","133.0","7","7","0","1","144","73","22","119","40","1.39","8.06","2.73","4.94","4.58","","1.1","1.0","","527.3","14078"
"Aaron Civale","CLE","28","28","154.0","9","11","0","0","161","81","27","127","41","1.31","7.43","2.41","4.73","4.72","","1.1","1.3","","266.4","19479"
"Tyler Matzek","ATL","0","68","68.0","4","2","2","14","52","26","6","88","35","1.29","11.61","4.65","3.41","3.44","","1.1","1.3","","553.8","10058"
"Kris Bubic","KCR","23","23","128.0","7","8","0","0","126","66","18","113","56","1.42","7.94","3.92","4.66","4.70","","1.1","1.5","","500.9","21455"
"Matt Manning","DET","26","26","131.0","7","9","0","0","139","69","19","100","46","1.42","6.90","3.17","4.73","4.71","","1.1","1.3","","529.2","20369"
"Garrett Richards","","24","24","130.0","7","8","0","0","137","70","20","110","52","1.45","7.62","3.57","4.84","4.77","","1.1","0.9","","599.5","9784"
"Sixto Sánchez","MIA","11","17","69.0","4","4","0","1","67","29","7","60","19","1.24","7.84","2.51","3.78","3.79","","1.1","1.0","","377.7","19680"
"Matthew Boyd","","13","13","72.0","4","5","0","0","69","35","12","75","21","1.25","9.39","2.61","4.33","4.28","","1.1","0.9","","591.6","15440"
"Tyler Alexander","DET","21","45","136.0","7","9","0","1","143","71","22","111","40","1.35","7.31","2.64","4.71","4.70","","1.1","1.1","","582.0","17735"
"Aaron Ashby","MIL","6","61","89.0","7","5","1","10","74","35","9","105","41","1.30","10.67","4.15","3.55","3.66","","1.1","1.3","","270.0","23550"
"Cristian Javier","HOU","11","45","110.0","5","4","0","1","87","51","17","139","52","1.27","11.37","4.28","4.21","4.28","","1.1","1.1","","299.6","17606"
"Cole Irvin","OAK","29","29","165.0","10","12","0","0","178","86","27","117","42","1.33","6.37","2.29","4.66","4.77","","1.1","1.2","","509.0","19244"
"Domingo Germán","NYY","13","51","109.0","7","6","0","1","102","53","19","117","32","1.23","9.64","2.67","4.34","4.31","","1.1","0.9","","402.5","17149"
"Madison Bumgarner","ARI","31","31","177.0","9","11","0","0","187","99","34","145","49","1.34","7.38","2.52","5.05","5.05","","1.0","1.0","","474.8","5524"
"Carlos Hernández","KCR","24","24","132.0","7","8","0","0","130","70","19","117","59","1.44","8.00","4.06","4.80","4.75","","1.0","1.4","","438.8","22713"
"Elieser Hernandez","MIA","26","26","128.0","6","7","0","0","124","65","23","129","39","1.27","9.03","2.72","4.58","4.62","","1.0","0.9","","330.1","16933"
"Reid Detmers","LAA","16","16","79.0","5","5","0","0","74","38","13","86","31","1.33","9.84","3.51","4.36","4.40","","1.0","1.0","","426.3","27468"
"Keegan Akin","BAL","21","21","106.0","6","8","0","0","109","58","19","97","42","1.42","8.26","3.58","4.91","4.99","","1.0","0.8","","597.6","19362"
"Joe Ross","WSN","16","16","89.0","5","6","0","0","90","46","14","84","31","1.36","8.47","3.10","4.64","4.55","","1.0","0.9","","598.5","12972"
"Spencer Howard","TEX","23","23","101.0","6","6","0","0","99","53","15","99","41","1.39","8.84","3.68","4.69","4.58","","1.0","0.9","","558.5","23252"
"Brusdar Graterol","LAD","0","66","66.0","5","3","7","13","61","26","6","64","22","1.25","8.68","2.97","3.53","3.72","","1.0","0.9","","563.3","20367"
"Glenn Otto","TEX","18","18","92.0","6","7","0","0","90","46","13","90","39","1.40","8.85","3.80","4.54","4.43","","1.0","0.9","","572.7","21366"
"James Kaprielian","OAK","23","37","135.0","7","9","0","1","129","69","23","134","49","1.32","8.92","3.25","4.59","4.67","","1.0","1.0","","376.8","18331"
"Garrett Whitlock","BOS","0","70","70.0","5","3","20","8","66","30","8","72","23","1.26","9.20","2.91","3.82","3.65","","0.9","1.2","","229.8","20191"
"J.A. Happ","","26","26","138.0","8","9","0","0","144","74","23","109","44","1.37","7.12","2.90","4.85","4.86","","0.9","1.0","","591.8","7410"
"Garrett Crochet","CHW","3","59","75.0","6","4","0","10","60","29","8","94","33","1.25","11.24","4.01","3.47","3.58","","0.9","1.0","","517.4","27463"
"Drew Smyly","","23","23","120.0","7","7","0","0","122","64","22","113","42","1.37","8.49","3.15","4.83","4.81","","0.9","0.9","","571.6","11760"
"Paul Sewald","SEA","0","67","67.0","5","4","6","13","54","28","10","87","24","1.16","11.70","3.16","3.78","3.68","","0.9","0.9","","297.4","13892"
"Bruce Zimmermann","BAL","23","23","117.0","6","8","0","0","125","66","21","99","45","1.45","7.56","3.47","5.04","5.15","","0.9","0.8","","599.5","20370"
